time Adot Adot_std
3476600 0.00011003107 1.7652158e-06
3476800 9.3045241e-05 1.5342651e-05
3477000 0.00010821348 2.2711203e-05
3477200 0.00010044028 2.244003e-05
3477400 0.00010019963 4.0907297e-05
3477600 0.0001092271 2.2002082e-05
3477800 0.00010201008 2.6227496e-05
3478000 0.00010569961 1.0148058e-05
3478200 0.00011107699 2.4133035e-06
3478400 0.00010325938 1.6845856e-05
3478600 0.00010350433 4.1765336e-05
3478800 0.00010014414 2.847827e-05
3479000 0.00010224848 3.5255338e-05
3479200 0.00011943461 3.2383568e-05
3479400 0.00010869022 6.4986197e-06
3479600 0.00011611952 3.1235924e-05
3479800 0.00010446014 2.5056984e-05
3480000 0.00011635276 7.9033476e-06
3480200 0.0001116037 2.9158507e-05
3480400 0.00011437488 1.9842612e-05
3480600 0.00010642652 4.0157256e-05
3480800 0.00010186472 1.4348814e-05
3481000 0.00012203233 3.8328108e-06
3481200 9.9518659e-05 3.2945116e-05
3481400 8.1347612e-05 2.0600218e-05
3481600 7.2474247e-05 2.8206715e-05
3481800 0.0001029593 1.0882948e-05
3482000 9.2427444e-05 2.2317154e-05
3482200 8.9586369e-05 3.4985548e-05
3482400 7.7357376e-05 2.8628371e-05
3482600 0.00010572485 2.3863145e-05
3482800 9.2834831e-05 3.5646013e-05
3483000 9.7277727e-05 1.1459166e-05
3483200 0.00010148824 1.624512e-05
3483400 0.00011284142 1.6030253e-05
3483600 0.00011316012 1.6912255e-05
3483800 0.00012476151 2.2886144e-05
3484000 0.00010406293 2.8232811e-05
3484200 9.8060431e-05 2.7663577e-05
3484400 9.7687179e-05 2.3016943e-05
3484600 0.00010048165 2.4440285e-05
3484800 0.00010239909 2.4341709e-05
3485000 7.3117173e-05 4.5338444e-05
3485200 9.2839939e-05 3.5959466e-05
3485400 9.2807778e-05 3.5948109e-05
3485600 0.00010124208 1.8792632e-05
3485800 0.00010913812 2.6207126e-05
3486000 0.00011034642 2.0586747e-05
3486200 9.1701796e-05 3.9437681e-05
3486400 0.0001030745 3.0722459e-05
3486600 9.1479009e-05 2.679589e-05
3486800 8.4206914e-05 1.7053011e-05
3487000 0.00010201247 2.9966549e-05
3487200 8.3675351e-05 3.0306347e-05
3487400 8.1922617e-05 3.4891591e-05
3487600 8.390941e-05 4.2510846e-05
3487800 7.0083391e-05 2.9114961e-05
3488000 8.7769627e-05 3.0767979e-05
3488200 0.0001113393 4.340656e-05
3488400 9.4326651e-05 1.0480305e-05
3488600 9.1431126e-05 1.333588e-05
