Time AvStress StdStress Strain AvStressZ StdStressZ
623220 0.0050887056 0 247.43583 0.00072649837 0
623240 0.0055696567 0 247.43583 0.00078865455 0
623260 0.0061036407 0 247.43583 0.00070821418 0
623280 0.0063585638 0 247.43583 0.00064690718 0
623300 0.0059525607 0 247.43583 0.00048618842 0
623320 0.0048938987 0 247.43583 0.00014703431 0
623340 0.0034881703 0 247.43583 -0.00020805509 0
623360 0.0025300897 0 247.43583 -0.0004074833 0
623380 0.0024168934 0 247.43583 -0.00028950729 0
623400 0.0028326425 0 247.43583 -0.00019707823 0
623420 0.00333958 0 247.43583 -0.00027084229 0
623440 0.0036005271 0 247.43583 -0.00028070532 0
623460 0.0036994017 0 247.43583 -0.00028641573 0
623480 0.0036644283 0 247.43583 -0.00042258697 0
623500 0.0035709959 0 247.43583 -0.00053455892 0
623520 0.0034627958 0 247.43583 -0.00053227711 0
623540 0.0034629452 0 247.43583 -0.00056484977 0
623560 0.003828117 0 247.43583 -0.0006415151 0
623580 0.0042127308 0 247.43583 -0.00081047228 0
623600 0.0040069339 0 247.43583 -0.00088851219 0
623620 0.0035534612 0 247.43583 -0.00086166516 0
623640 0.0034877249 0 247.43583 -0.00086560848 0
623660 0.0036574133 0 247.43583 -0.00073261351 0
623680 0.0039402139 0 247.43583 -0.000432912 0
623700 0.0041786389 0 247.43583 -0.00011700756 0
623720 0.0045145906 0 247.43583 -3.6340263e-05 0
623740 0.0050825949 0 247.43583 2.3486149e-05 0
623760 0.0058846638 0 247.43583 0.00023043631 0
623780 0.0070166724 0 247.43583 0.00022326791 0
623800 0.0079837703 0 247.43583 2.4747621e-05 0
623820 0.0086360243 0 247.43583 -0.0001749242 0
623840 0.0090175155 0 247.43583 -0.00032708864 0
623860 0.0085692415 0 247.43583 -0.00060582693 0
623880 0.0075493423 0 247.43583 -0.00081879763 0
623900 0.0066155148 0 247.43583 -0.00088729863 0
623920 0.0056816373 0 247.43583 -0.0010659113 0
623940 0.0048428214 0 247.43583 -0.001321113 0
623960 0.0041819883 0 247.43583 -0.0014054188 0
623980 0.0036500706 0 247.43583 -0.0011808096 0
624000 0.0033553338 0 247.43583 -0.00097873991 0
624020 0.0029594392 0 247.43583 -0.0010046475 0
624040 0.0023657165 0 247.43583 -0.0011140561 0
624060 0.0020842552 0 247.43583 -0.0011175978 0
624080 0.0027840207 0 247.43583 -0.00090573924 0
624100 0.0040216944 0 247.43583 -0.00043000048 0
624120 0.0052812088 0 247.43583 8.6186663e-05 0
624140 0.0064431508 0 247.43583 0.00043779288 0
624160 0.0071873623 0 247.43583 0.00046188115 0
624180 0.0075496653 0 247.43583 0.00012815181 0
624200 0.0071451256 0 247.43583 -0.00034713872 0
624220 0.0058769113 0 247.43583 -0.00068684306 0
624240 0.0044902936 0 247.43583 -0.00091554022 0
624260 0.0034836832 0 247.43583 -0.0011085089 0
624280 0.0030721451 0 247.43583 -0.0011100509 0
624300 0.0034078975 0 247.43583 -0.0009660458 0
624320 0.004108967 0 247.43583 -0.00077536243 0
624340 0.0043720476 0 247.43583 -0.0007224784 0
624360 0.0042023958 0 247.43583 -0.00068467043 0
624380 0.0037995077 0 247.43583 -0.00060890265 0
624400 0.0031843458 0 247.43583 -0.00081232723 0
624420 0.0026377161 0 247.43583 -0.0011700165 0
624440 0.0024823069 0 247.43583 -0.0013623198 0
624460 0.0027216604 0 247.43583 -0.0012517625 0
624480 0.0030855782 0 247.43583 -0.0010923165 0
624500 0.0036157877 0 247.43583 -0.0010777831 0
624520 0.0044548488 0 247.43583 -0.0012527017 0
624540 0.0054303352 0 247.43583 -0.0014181776 0
624560 0.0061233432 0 247.43583 -0.0014021143 0
624580 0.0062338242 0 247.43583 -0.0013400544 0
624600 0.0059643848 0 247.43583 -0.0013755139 0
624620 0.0054648642 0 247.43583 -0.0014058939 0
624640 0.0048104996 0 247.43583 -0.0012774549 0
624660 0.004702704 0 247.43583 -0.001096512 0
624680 0.0049743339 0 247.43583 -0.00071078463 0
624700 0.0054631142 0 247.43583 -0.00012842039 0
624720 0.0059384305 0 247.43583 0.00035936192 0
624740 0.0060996804 0 247.43583 0.0004650045 0
624760 0.0058068047 0 247.43583 0.00014160923 0
624780 0.0053047513 0 247.43583 -0.00025309906 0
624800 0.0050606964 0 247.43583 -0.00045267861 0
624820 0.0049347747 0 247.43583 -0.00048710755 0
624840 0.0050258895 0 247.43583 -0.0004124539 0
624860 0.0050733593 0 247.43583 -0.00034304593 0
624880 0.0052642861 0 247.43583 -0.00028455622 0
624900 0.0053222112 0 247.43583 -0.00020297087 0
624920 0.0050881565 0 247.43583 -0.0001105796 0
624940 0.0050189662 0 247.43583 -0.00010834382 0
624960 0.0049797778 0 247.43583 -0.00015416457 0
624980 0.0050448327 0 247.43583 -0.00011561624 0
625000 0.005167146 0 247.43583 -0.00016304503 0
625020 0.0054470931 0 247.43583 -0.00016435517 0
625040 0.0059246164 0 247.43583 -0.00012941226 0
625060 0.0061462478 0 247.43583 -0.00028739423 0
625080 0.0058965361 0 247.43583 -0.00065789386 0
625100 0.0053307139 0 247.43583 -0.0011850008 0
625120 0.0043054229 0 247.43583 -0.0015586227 0
625140 0.0031501618 0 247.43583 -0.0017056554 0
625160 0.0025075552 0 247.43583 -0.0017246925 0
625180 0.0022995138 0 247.43583 -0.0016033472 0
