step etot ke peBond peAngle temp press stressX stressY stressZ stressX_N stressY_N stressZ_N AvBondForce NumMons BoxLength BoxVol CurrentConc ConcPref P_add P_remov NreactNuc NreactDeath T_den_add T_den_remov T_id_add T_id_remov NumTot
9900560 23082.9260579314 18936.9008923465 1846.01900045942 3926.48809002378 0.995081626459973 0.124317759539355 -5441.99140474588 -8535.00676133185 -8903.63298104914 4036.91205400172 1046.89734392804 1044.98911704753 -2.15476448609039 7 31.428889 61349.8592421775 0.000114099691286456 0.000253519698480572 0.0121853719016166 0.000502753773756748 0 0 1.25352641732078 0.781952944718765 0.972087363556402 0.0642946327080547 1444
9900580 23163.2583989392 19003.567384591 1841.30171193294 3924.20577260371 0.998584765749245 0.12801958576499 -6193.45428048005 -8573.13557399546 -8825.34848054064 3298.88543188273 990.789933906367 1071.46744582404 -2.11806207308165 7 31.468889 61427.9400922415 0.000113954659548874 0.000253519698480572 0.0126614812964363 0.000483848734973172 0 0 1.3008488541057 0.753506966019205 0.973324553154235 0.0642129080145545 1444
9900600 23196.5124482923 18998.5450525114 1856.88577064813 3913.23862866368 0.99832085612629 0.131794831601175 -6914.77976744878 -8419.73218573539 -8984.01506446425 2591.34942724994 1123.32038447471 880.887767386024 -2.07074603522321 7 31.508889 61506.0209423055 0.000113809996041952 0.000253519698480572 0.0131561720806382 0.000465655334288547 0 0 1.34995778138043 0.726095798569666 0.974561742752064 0.0641313908172778 1444
9900620 23164.7532653968 18956.2034876031 1868.84185355275 3897.03872670009 0.996095924311135 0.132979274520758 -7148.66812617445 -8256.01572763135 -9163.54368127966 2366.46737897849 1345.85547951847 632.875569888245 -2.04013992171789 7 31.548889 61584.1017923695 0.000113665699365081 0.000253519698480572 0.0136701686652364 0.00044814675357638 0 0 1.40092064174698 0.699681797881445 0.975798932349899 0.0640500803269881 1444
9900640 23196.9367803535 18938.5681379281 1898.82306345276 3892.81075887546 0.995169235591715 0.131907882500187 -7127.24728718904 -8005.43039388357 -9268.50614703702 2399.6854698415 1657.04172263105 506.440370300904 -2.04168943031357 7 31.588889 61662.1826424335 0.000113521768124745 0.000253519698480572 0.0142042236747012 0.000431297186559976 0 0 1.4538074238632 0.674228688901641 0.977036121947731 0.0639689757584456 1444
9900660 23279.0075785943 18937.4295282194 1951.19746049132 3892.89953073141 0.995109404809092 0.132429621837099 -7100.53461702472 -8015.44462689991 -9412.73999537825 2450.33132463116 1737.99097675892 392.596025708039 -2.02636248554213 7 31.628889 61740.2634924975 0.000113378200934478 0.000253519698480572 0.0147591190447477 0.000415081800586692 0 0 1.50869075856009 0.649701516195583 0.978273311545562 0.0638880763303834 1444
9900680 23369.5064107525 18950.3015080571 2007.17268884182 3890.09740986674 0.995785791653246 0.130931590098832 -6798.77380209254 -7949.11718756319 -9534.03137649033 2719.05254335815 1814.49784121256 247.763224026656 -2.04129681477899 7 31.668889 61818.3443425615 0.000113234996414819 0.000253519698480572 0.0153356671627998 0.000399476699848301 0 0 1.56564601858768 0.626066595941631 0.979510501143397 0.0638073812654819 1444
9900700 23408.497350013 18935.7120604315 2031.24544097197 3886.94467743403 0.995019156639683 0.127616369088389 -6233.63611506678 -7796.01615652491 -9667.33885631025 3224.49082330236 1963.38970471835 111.720374558751 -2.08652706107267 7 31.708889 61896.4251926255 0.000113092153193267 0.000253519698480572 0.0159347120527898 0.000384458889992591 0 0 1.62475142212639 0.603291469672273 0.980747690741228 0.0637268897903431 1444
9900720 23377.0709139697 18934.259247675 2020.23366171139 3882.37942308446 0.994942815358242 0.125867920414938 -5877.12595252001 -7983.41669792043 -9541.26393256868 3563.0390338279 1735.65940905834 135.550949892488 -2.10292573277149 7 31.748889 61974.5060426895 0.000112949669904238 0.000253519698480572 0.0165571306060151 0.000370006244073574 0 0 1.68608814020621 0.581344859698074 0.981984880339066 0.0636466011354671 1444
9900740 23411.5351010733 19018.3825234105 1988.28453814 3868.43319216952 0.999363260209165 0.126143841323413 -5603.92627794468 -8275.48712220185 -9603.2416239738 3835.62265751956 1433.95058586384 72.6451375722924 -2.12508848461312 7 31.788889 62052.5868927535 0.000112807545189022 0.000253519698480572 0.0172038338598388 0.000356097469789482 0 0 1.74974040818093 0.560196626153129 0.983222069936895 0.0635665145352273 1444
9900760 23501.4668640372 19130.3148182985 1980.8567500541 3852.68850291986 1.00524499189714 0.127745601853266 -5388.15911031798 -8664.02057680793 -9758.5789459287 4045.35712426236 1099.34509728492 -26.9833789828222 -2.13989770466189 7 31.828889 62130.6677428175 0.000112665777695737 0.000253519698480572 0.0178757683260988 0.000342712077959908 0 0 1.81579564141101 0.539817725603234 0.984459259534734 0.0634866292278445 1444
9900780 23422.3581593448 19072.3077333829 2004.85323808294 3839.54386536476 1.00219688044891 0.128845866590969 -5359.21006463693 -8855.69643527555 -9831.1138660561 4085.44208304313 955.868247860898 -58.3224812693283 -2.11760152687072 7 31.868889 62208.7485928815 0.000112524366079291 0.000253519698480572 0.018573917371144 0.000329830352195062 0 0 1.8843445553131 0.520180171159707 0.985696449132565 0.0634069444553658 1444
9900800 23405.5295698429 19047.9210734018 2033.94873847069 3837.78972065036 1.00091542909549 0.128386933852713 -5295.76428531775 -8791.93963367539 -9902.74123576689 4124.90299292875 995.17691631198 -76.3299268522943 -2.12342761474853 7 31.908889 62286.8294429455 0.000112383309001335 0.000253519698480572 0.0192993026495216 0.000317433319712155 0 0 1.95548128994249 0.501256994044459 0.986933638730399 0.063327459463638 1444
9900820 23442.8385675851 19075.275884377 2051.87222526456 3835.60318407248 1.00235284855243 0.126729367986805 -5041.1716588618 -8589.74434359154 -10079.4809955074 4368.59259832696 1155.90930954473 -199.145564322912 -2.15303004227678 7 31.948889 62364.9102930095 0.000112242605130222 0.000253519698480572 0.0200529855933741 0.000305502723254939 0 0 2.02930353927765 0.483022206552582 0.988170828328233 0.0632481735022842 1444
9900840 23455.8725259284 19083.1622856736 2071.37537136314 3834.41141875046 1.00276725707016 0.122257162163775 -4557.93098757742 -8366.13730965757 -9978.24038527469 4788.89622070801 1336.09879593134 -155.836919213432 -2.20326101082531 7 31.988889 62442.9911430735 0.000112102253140967 0.000253519698480572 0.0208360689597286 0.000294020994075631 0 0 2.10591268538574 0.465450766363235 0.989408017926064 0.0631690858246818 1444
9900860 23488.8121121632 19100.5593476465 2097.98147637901 3839.10631526605 1.00368142443165 0.117235014627948 -4132.25503238525 -8073.06136421249 -9783.65997241372 5167.68215438689 1535.93233444873 -11.1481251774733 -2.26389869206451 7 32.028889 62521.0719931375 0.000111962251715203 0.000253519698480572 0.0216496984379296 0.000282971225937921 0 0 2.18541393765409 0.448518542148102 0.9906452075239 0.0630901956879373 1444
