time Area Area_std NumInNet NumInNet_std
4266200 1585.539 389.01905 1644.6667 245.73744
4266400 1585.7236 389.10972 1644.6667 245.73744
4266600 1585.9142 389.21316 1644.6667 245.73744
4266800 1586.1195 389.32397 1644.6667 245.73744
4267000 1586.3294 389.41948 1644.6667 245.73744
4267200 1586.5213 389.51635 1645 246.20858
4267400 1586.725 389.60081 1645 246.20858
4267600 1586.8967 389.70856 1645 246.20858
4267800 1587.0767 389.83653 1645 246.20858
4268000 1587.2306 389.92131 1645 246.20858
4268200 1587.4171 390.01599 1646.3333 246.65405
4268400 1587.6002 390.11761 1646.3333 246.65405
4268600 1587.7944 390.22187 1646.3333 246.65405
4268800 1587.978 390.31661 1647 247.59645
4269000 1588.1804 390.43451 1647 247.59645
4269200 1588.3592 390.55177 1647.3333 248.06764
4269400 1588.5517 390.63494 1647.3333 248.06764
4269600 1588.7418 390.73794 1647.3333 248.06764
4269800 1588.9429 390.83749 1647.3333 248.06764
4270000 1589.1136 390.92384 1647.3333 248.06764
4270200 1589.2988 391.0193 1647.3333 248.06764
4270400 1589.4853 391.10421 1647.3333 248.06764
4270600 1589.6706 391.19323 1647.3333 248.06764
4270800 1589.8597 391.26584 1648.3333 247.34906
4271000 1590.0444 391.37543 1648.3333 247.34906
4271200 1590.2232 391.46843 1649 246.85623
4271400 1590.3964 391.56387 1649 246.85623
4271600 1590.5918 391.65551 1649 246.85623
4271800 1590.7714 391.75656 1649.6667 247.79875
4272000 1590.9569 391.87033 1649.6667 247.79875
4272200 1591.16 391.96012 1651 248.25122
4272400 1591.351 392.05328 1651 248.25122
4272600 1591.5295 392.14842 1651 248.25122
4272800 1591.7134 392.24536 1651.6667 247.79875
4273000 1591.8977 392.35776 1651.6667 247.79875
4273200 1592.0744 392.46291 1651.6667 247.79875
4273400 1592.2525 392.56689 1651.6667 247.79875
4273600 1592.4289 392.66965 1651.6667 247.79875
4273800 1592.6079 392.74858 1651.6667 247.79875
4274000 1592.7953 392.85718 1651.6667 247.79875
4274200 1592.9869 392.99733 1652.6667 247.10232
4274400 1593.1527 393.09629 1652.6667 247.10232
4274600 1593.357 393.20337 1652.6667 247.10232
4274800 1593.5442 393.33744 1652.6667 247.10232
4275000 1593.7084 393.43037 1652.6667 247.10232
4275200 1593.9057 393.54205 1653.6667 246.40662
4275400 1594.091 393.66466 1653.6667 246.40662
4275600 1594.2835 393.76814 1653.6667 246.40662
4275800 1594.4817 393.86625 1654.3333 247.34906
4276000 1594.6841 393.9648 1654.3333 247.34906
4276200 1594.8891 394.0804 1654.6667 247.10232
4276400 1595.0936 394.17844 1654.6667 247.10232
4276600 1595.2811 394.29936 1654.6667 247.10232
4276800 1595.48 394.41502 1654.6667 247.10232
4277000 1595.6915 394.54069 1654.6667 247.10232
4277200 1595.8949 394.66013 1654.6667 247.10232
4277400 1596.1 394.79661 1654.6667 247.10232
4277600 1596.2916 394.92442 1654.6667 247.10232
4277800 1596.4889 395.04508 1656 248.98728
4278000 1596.6865 395.18612 1656 248.98728
4278200 1596.8887 395.32241 1657.3333 249.43848
4278400 1597.0749 395.43293 1657.3333 249.43848
4278600 1597.2779 395.5398 1657.3333 249.43848
4278800 1597.4582 395.66114 1658.6667 251.32361
4279000 1597.663 395.79902 1658.6667 251.32361
4279200 1597.8735 395.91555 1658.6667 251.32361
4279400 1598.0744 396.04046 1658.6667 251.32361
4279600 1598.2734 396.19801 1658.6667 251.32361
4279800 1598.4688 396.3421 1658.6667 251.32361
4280000 1598.6804 396.46753 1658.6667 251.32361
4280200 1598.9057 396.58955 1658.6667 251.32361
4280400 1599.1105 396.73012 1658.6667 251.32361
4280600 1599.2918 396.85548 1658.6667 251.32361
4280800 1599.4987 396.97661 1659.3333 252.26617
4281000 1599.7036 397.11418 1659.3333 252.26617
4281200 1599.9189 397.23481 1660 253.20874
4281400 1600.1095 397.36119 1660 253.20874
4281600 1600.3293 397.48903 1660 253.20874
4281800 1600.5319 397.63723 1660 253.20874
4282000 1600.7281 397.7492 1660 253.20874
4282200 1600.9459 397.87536 1659.6667 252.73746
4282400 1601.1547 397.99959 1659.6667 252.73746
4282600 1601.3577 398.11725 1659.6667 252.73746
4282800 1601.55 398.25989 1660.3333 253.68003
4283000 1601.767 398.41541 1660.3333 253.68003
4283200 1601.9698 398.53809 1660.3333 253.68003
4283400 1602.1722 398.65781 1660.3333 253.68003
4283600 1602.3708 398.79981 1660.3333 253.68003
4283800 1602.55 398.93589 1661 254.6226
4284000 1602.7636 399.06758 1661 254.6226
4284200 1602.9798 399.20715 1661.3333 255.09388
4284400 1603.2079 399.36553 1661.3333 255.09388
4284600 1603.4272 399.50626 1661.3333 255.09388
4284800 1603.6428 399.61749 1662.3333 255.81026
4285000 1603.8535 399.74264 1662.3333 255.81026
4285200 1604.0656 399.87112 1663.6667 254.91219
4285400 1604.2843 399.9977 1663.6667 254.91219
4285600 1604.5008 400.13728 1663.6667 254.91219
4285800 1604.7145 400.268 1664.6667 256.32575
4286000 1604.9328 400.37485 1664.6667 256.32575
4286200 1605.1298 400.4798 1664.6667 256.32575
4286400 1605.3478 400.61287 1664.6667 256.32575
4286600 1605.5588 400.7526 1664.6667 256.32575
4286800 1605.769 400.86508 1666 255.38337
4287000 1605.989 401.00207 1666 255.38337
4287200 1606.1934 401.13496 1666 255.38337
4287400 1606.4013 401.24363 1666 255.38337
4287600 1606.5984 401.3741 1666 255.38337
4287800 1606.805 401.51854 1667 256.79694
4288000 1606.999 401.64678 1667 256.79694
4288200 1607.1939 401.76331 1667 256.79694
4288400 1607.3906 401.88737 1667 256.79694
4288600 1607.6 402.00764 1667 256.79694
4288800 1607.8048 402.127 1667 256.79694
4289000 1608.01 402.27003 1667 256.79694
4289200 1608.2164 402.38093 1669 258.23633
4289400 1608.4057 402.49935 1669 258.23633
4289600 1608.6046 402.61295 1669 258.23633
4289800 1608.8079 402.7362 1669.6667 257.73932
4290000 1609.0122 402.87717 1669.6667 257.73932
4290200 1609.2045 403.01104 1669.6667 257.73932
4290400 1609.414 403.13136 1669.6667 257.73932
4290600 1609.6203 403.26398 1669.6667 257.73932
4290800 1609.838 403.38897 1670 258.21051
4291000 1610.0563 403.51082 1670 258.21051
4291200 1610.2549 403.62528 1670 258.21051
4291400 1610.4363 403.75081 1670 258.21051
4291600 1610.6357 403.87713 1670 258.21051
4291800 1610.8609 403.99702 1670 258.21051
4292000 1611.0771 404.1322 1670 258.21051
4292200 1611.2664 404.26604 1671 258.92985
4292400 1611.4681 404.39997 1671 258.92985
4292600 1611.6783 404.51155 1671 258.92985
4292800 1611.925 404.66795 1671 258.92985
4293000 1612.1506 404.82209 1671 258.92985
4293200 1612.3773 404.92017 1671.6667 258.48576
4293400 1612.5958 405.03765 1671.6667 258.48576
4293600 1612.8187 405.14255 1671.6667 258.48576
4293800 1613.0531 405.25916 1672.3333 259.428
4294000 1613.2592 405.38407 1672.3333 259.428
4294200 1613.4855 405.51395 1672.3333 259.428
4294400 1613.6909 405.64897 1672.3333 259.428
4294600 1613.8607 405.78417 1672.3333 259.428
4294800 1614.0612 405.9218 1673 258.98649
4295000 1614.267 406.05644 1673 258.98649
4295200 1614.467 406.16093 1673 258.98649
4295400 1614.6717 406.27407 1673 258.98649
4295600 1614.9097 406.40174 1673 258.98649
4295800 1615.1298 406.50158 1673 258.98649
4296000 1615.3198 406.63185 1673 258.98649
4296200 1615.528 406.74618 1673.6667 259.92862
4296400 1615.7297 406.8869 1673.6667 259.92862
4296600 1615.9536 407.04865 1673.6667 259.92862
4296800 1616.1587 407.17779 1673.6667 259.92862
4297000 1616.383 407.3196 1673.6667 259.92862
4297200 1616.5866 407.43241 1673.6667 259.92862
4297400 1616.809 407.56841 1673.6667 259.92862
4297600 1617.0089 407.69266 1673.6667 259.92862
4297800 1617.2193 407.82152 1673.6667 259.92862
4298000 1617.4236 407.9591 1673.6667 259.92862
4298200 1617.6393 408.10537 1673.6667 259.92862
4298400 1617.8554 408.25554 1673.6667 259.92862
4298600 1618.0701 408.40697 1673.6667 259.92862
4298800 1618.2858 408.55668 1674 259.67801
4299000 1618.5128 408.68608 1674 259.67801
4299200 1618.7182 408.81674 1674 258.23633
4299400 1618.942 408.94008 1674 258.23633
4299600 1619.1548 409.07786 1674 258.23633
4299800 1619.3419 409.21469 1674.3333 257.98751
4300000 1619.5473 409.34244 1674.3333 257.98751
4300200 1619.7581 409.45771 1674.3333 257.98751
4300400 1619.9702 409.60281 1674.3333 257.98751
4300600 1620.1694 409.72401 1674.3333 257.98751
4300800 1620.3641 409.85522 1675 257.54352
4301000 1620.5582 410.00992 1675 257.54352
4301200 1620.7756 410.15319 1675.3333 257.32254
4301400 1620.9876 410.28224 1675.3333 257.32254
4301600 1621.1943 410.3963 1675.3333 257.32254
4301800 1621.3808 410.53096 1676 256.8229
4302000 1621.5986 410.68411 1676 256.8229
4302200 1621.8146 410.8275 1677 256.85145
4302400 1622.0213 410.96566 1677 256.85145
4302600 1622.2297 411.09272 1677 256.85145
4302800 1622.4437 411.22835 1679.3333 260.1491
4303000 1622.6378 411.35404 1679.3333 260.1491
4303200 1622.8412 411.48574 1680 259.64976
4303400 1623.0651 411.62046 1680 259.64976
4303600 1623.2799 411.73886 1680 259.64976
4303800 1623.5194 411.89046 1680.6667 259.20691
4304000 1623.7262 412.02481 1680.6667 259.20691
4304200 1623.919 412.16166 1681.3333 260.1491
4304400 1624.1323 412.28398 1681.3333 260.1491
4304600 1624.3636 412.42757 1681.3333 260.1491
4304800 1624.5735 412.56203 1681.3333 258.76673
4305000 1624.7848 412.70925 1681.3333 258.76673
4305200 1625.024 412.8448 1681.3333 258.76673
4305400 1625.2239 412.97871 1681.3333 258.76673
4305600 1625.4362 413.1291 1681.3333 258.76673
4305800 1625.6424 413.26539 1682.6667 257.89447
4306000 1625.8447 413.36999 1682.6667 257.89447
4306200 1626.0454 413.50318 1683.3333 258.83628
4306400 1626.2705 413.63725 1683.3333 258.83628
4306600 1626.482 413.78238 1683.3333 258.83628
4306800 1626.6871 413.88746 1684 259.77811
4307000 1626.9046 414.02457 1684 259.77811
4307200 1627.1276 414.1523 1684.6667 260.71994
4307400 1627.3554 414.29981 1684.6667 260.71994
4307600 1627.5585 414.42577 1684.6667 260.71994
4307800 1627.7701 414.56492 1685 260.46625
4308000 1628.0093 414.69635 1685 260.46625
4308200 1628.2378 414.81523 1685 260.46625
4308400 1628.4503 414.95092 1685 260.46625
4308600 1628.6806 415.08445 1685 260.46625
4308800 1628.8869 415.23941 1685 260.46625
4309000 1629.0906 415.38316 1685 260.46625
4309200 1629.3177 415.54493 1685 260.46625
4309400 1629.5335 415.69568 1685 260.46625
4309600 1629.7456 415.85672 1685 260.46625
4309800 1629.954 416.00673 1685.6667 260.03248
4310000 1630.1675 416.14124 1685.6667 260.03248
4310200 1630.3846 416.25388 1686.6667 261.44513
4310400 1630.6001 416.3984 1686.6667 261.44513
4310600 1630.8226 416.54226 1686.6667 261.44513
4310800 1631.0476 416.67829 1688 260.50336
4311000 1631.2453 416.81558 1688 260.50336
4311200 1631.4761 416.94659 1688 260.50336
4311400 1631.6915 417.08515 1688 260.50336
4311600 1631.8913 417.2168 1688 260.50336
4311800 1632.0923 417.35383 1688.6667 259.9953
4312000 1632.2866 417.50949 1688.6667 259.9953
4312200 1632.4882 417.6564 1688.6667 259.9953
4312400 1632.6869 417.80414 1688.6667 259.9953
4312600 1632.8906 417.93833 1688.6667 259.9953
4312800 1633.1296 418.07006 1688.6667 259.9953
4313000 1633.3731 418.19877 1688.6667 259.9953
4313200 1633.588 418.36123 1690.3333 261.66178
4313400 1633.7772 418.49061 1690.3333 261.66178
4313600 1633.9871 418.60282 1690.3333 261.66178
4313800 1634.1923 418.73111 1691 261.22915
4314000 1634.3988 418.85232 1691 261.22915
4314200 1634.6269 418.982 1691 261.22915
4314400 1634.8434 419.11356 1691 261.22915
4314600 1635.057 419.23727 1691 261.22915
4314800 1635.2843 419.38737 1691 261.22915
4315000 1635.4892 419.52633 1691 261.22915
4315200 1635.7088 419.67953 1690.3333 260.28745
4315400 1635.9384 419.81008 1690.3333 260.28745
4315600 1636.1576 419.95065 1690.3333 260.28745
4315800 1636.3755 420.07815 1690.3333 260.28745
4316000 1636.6009 420.20857 1690.3333 260.28745
4316200 1636.83 420.35373 1690.3333 260.28745
4316400 1637.0689 420.48871 1690.3333 260.28745
4316600 1637.2997 420.61523 1690.3333 260.28745
4316800 1637.5078 420.76417 1690.3333 260.28745
4317000 1637.7106 420.93276 1690.3333 260.28745
4317200 1637.9209 421.07314 1691 261.22915
4317400 1638.1194 421.20381 1691 261.22915
4317600 1638.3415 421.33291 1691 261.22915
4317800 1638.5588 421.48261 1691.6667 260.71994
4318000 1638.783 421.62858 1691.6667 260.71994
4318200 1639.0038 421.78762 1692.3333 260.28745
4318400 1639.213 421.93824 1692.3333 260.28745
4318600 1639.4306 422.07309 1692.3333 260.28745
4318800 1639.6625 422.20466 1692.6667 260.03248
4319000 1639.8832 422.36123 1692.6667 260.03248
4319200 1640.0917 422.50554 1692.6667 260.03248
4319400 1640.3192 422.64107 1692.6667 260.03248
4319600 1640.5192 422.75816 1692.6667 260.03248
4319800 1640.7497 422.90942 1693.3333 259.52435
4320000 1640.9365 423.05818 1693.3333 259.52435
4320200 1641.1333 423.18803 1693.3333 259.52435
4320400 1641.3259 423.31826 1693.3333 259.52435
4320600 1641.5486 423.43993 1693.3333 259.52435
4320800 1641.7755 423.58999 1694 259.09072
4321000 1641.998 423.72421 1694 259.09072
4321200 1642.1967 423.84142 1694 259.09072
4321400 1642.4105 423.97913 1694 259.09072
4321600 1642.6312 424.11916 1694 259.09072
4321800 1642.8456 424.25755 1694.3333 258.83628
4322000 1643.067 424.37319 1694.3333 258.83628
4322200 1643.2716 424.50498 1696.3333 257.3873
4322400 1643.4621 424.6462 1696.3333 257.3873
4322600 1643.6647 424.78228 1696.3333 257.3873
4322800 1643.8944 424.94729 1697 258.32925
4323000 1644.1184 425.08632 1697 258.32925
4323200 1644.3363 425.19887 1698.3333 258.83628
4323400 1644.5404 425.32957 1698.3333 258.83628
4323600 1644.758 425.44476 1698.3333 258.83628
4323800 1644.9959 425.56217 1699 259.77811
4324000 1645.2324 425.71634 1699 259.77811
4324200 1645.4572 425.87212 1699 259.77811
4324400 1645.6865 426.01721 1699 259.77811
4324600 1645.9171 426.15465 1699 259.77811
4324800 1646.1246 426.31774 1700 261.19086
4325000 1646.3324 426.48007 1700 261.19086
4325200 1646.5426 426.63443 1700 261.19086
4325400 1646.7422 426.78129 1700 261.19086
4325600 1646.9463 426.93048 1700 261.19086
4325800 1647.1727 427.08163 1700 261.19086
4326000 1647.4069 427.22308 1700 261.19086
4326200 1647.63 427.37022 1700 261.19086
4326400 1647.825 427.51885 1700 261.19086
4326600 1648.026 427.6586 1700 261.19086
4326800 1648.2506 427.80987 1700.6667 262.13271
4327000 1648.4685 427.94869 1700.6667 262.13271
4327200 1648.6699 428.10346 1700.6667 262.13271
4327400 1648.8778 428.24572 1700.6667 262.13271
4327600 1649.091 428.41308 1700.6667 262.13271
4327800 1649.3063 428.56881 1700.6667 262.13271
4328000 1649.5154 428.72263 1700.6667 262.13271
4328200 1649.7517 428.85855 1700.6667 262.13271
4328400 1649.9809 429.02559 1700.6667 262.13271
4328600 1650.1771 429.15913 1700.6667 262.13271
4328800 1650.3986 429.28287 1701.3333 261.7
4329000 1650.6172 429.43513 1701.3333 261.7
4329200 1650.8248 429.56193 1702 262.64171
4329400 1651.0319 429.72809 1702 262.64171
4329600 1651.2529 429.85892 1702 262.64171
4329800 1651.4577 429.96957 1702 262.64171
4330000 1651.6587 430.081 1702 262.64171
4330200 1651.8685 430.18893 1703.3333 261.7
4330400 1652.0938 430.3137 1703.3333 261.7
4330600 1652.2986 430.45975 1703.3333 261.7
4330800 1652.5136 430.62068 1704 262.64171
4331000 1652.7466 430.75867 1704 262.64171
4331200 1652.974 430.90254 1704 262.64171
4331400 1653.2153 431.0417 1704 262.64171
4331600 1653.446 431.17385 1704 262.64171
4331800 1653.6757 431.31779 1704.6667 262.13271
4332000 1653.916 431.467 1704.6667 262.13271
4332200 1654.1415 431.62747 1704.6667 262.13271
4332400 1654.3849 431.7569 1704.6667 262.13271
4332600 1654.6231 431.88778 1704.6667 262.13271
4332800 1654.8608 432.0153 1705.3333 261.7
4333000 1655.0858 432.12793 1705.3333 261.7
4333200 1655.3329 432.26024 1706 261.19086
4333400 1655.561 432.40252 1706 261.19086
4333600 1655.7936 432.53315 1706 261.19086
4333800 1656.0233 432.66111 1706 261.19086
4334000 1656.2616 432.79952 1706 261.19086
4334200 1656.4964 432.9051 1706 261.19086
4334400 1656.7296 433.01886 1706 261.19086
4334600 1656.9624 433.15449 1706 261.19086
4334800 1657.1956 433.27496 1707.6667 260.03248
4335000 1657.4174 433.42191 1707.6667 260.03248
4335200 1657.6267 433.5442 1707.3333 258.83628
4335400 1657.8789 433.68252 1707.3333 258.83628
4335600 1658.1302 433.808 1707.3333 258.83628
4335800 1658.3573 433.95233 1708.6667 259.2712
4336000 1658.6066 434.06341 1708.6667 259.2712
4336200 1658.8334 434.1905 1709.3333 260.21316
4336400 1659.0496 434.33639 1709.3333 260.21316
4336600 1659.2736 434.44345 1709.3333 260.21316
4336800 1659.4908 434.56988 1709.3333 260.21316
4337000 1659.7288 434.71667 1709.3333 260.21316
4337200 1659.9614 434.84332 1709.3333 260.21316
4337400 1660.1693 434.96642 1709.3333 260.21316
4337600 1660.4246 435.09777 1709.3333 260.21316
4337800 1660.6719 435.23925 1709.3333 260.21316
4338000 1660.9118 435.35718 1709.3333 260.21316
4338200 1661.126 435.47036 1710.6667 259.2712
4338400 1661.3622 435.58207 1710.6667 259.2712
4338600 1661.6016 435.71554 1710.6667 259.2712
4338800 1661.8521 435.84539 1710.6667 259.2712
4339000 1662.093 435.95924 1710.6667 259.2712
4339200 1662.311 436.0821 1710.6667 259.2712
4339400 1662.5506 436.20126 1710.6667 259.2712
4339600 1662.8067 436.29567 1710.6667 259.2712
4339800 1663.0516 436.4168 1711.3333 259.52435
