time Area Area_std NumInNet
2260200 875.53008 110.54367 1002.3333
2260400 875.601 110.57742 1002.3333
2260600 875.67949 110.61132 1002.3333
2260800 875.75813 110.62882 1002.3333
2261000 875.84612 110.64859 1002.3333
2261200 875.92598 110.68433 1002.3333
2261400 876.00647 110.73142 1002.3333
2261600 876.09817 110.76466 1002.3333
2261800 876.17014 110.7751 1003
2262000 876.25881 110.78688 1003
2262200 876.33881 110.80299 1003
2262400 876.42111 110.83719 1003
2262600 876.52225 110.86275 1003
2262800 876.61542 110.89475 1003
2263000 876.71222 110.9141 1003
2263200 876.80092 110.93773 1003.6667
2263400 876.89206 110.97239 1003.6667
2263600 876.97611 110.98002 1003.6667
2263800 877.05573 111.00426 1003.6667
2264000 877.1202 111.01703 1003.6667
2264200 877.20619 111.02167 1003.6667
2264400 877.3007 111.05016 1003.6667
2264600 877.39162 111.07069 1003.6667
2264800 877.47081 111.08216 1003.6667
2265000 877.56041 111.09095 1003.6667
2265200 877.63222 111.09869 1003.6667
2265400 877.69475 111.10443 1003.6667
2265600 877.77376 111.12662 1003.6667
2265800 877.866 111.13618 1004.3333
2266000 877.97066 111.15064 1004.3333
2266200 878.06967 111.16737 1004.3333
2266400 878.15071 111.19172 1004.3333
2266600 878.23512 111.21711 1004.3333
2266800 878.32094 111.23315 1004.3333
2267000 878.39417 111.24936 1004.3333
2267200 878.47529 111.26662 1004.3333
2267400 878.56193 111.30639 1004.3333
2267600 878.62921 111.33788 1004.3333
2267800 878.71228 111.36147 1004.3333
2268000 878.79277 111.37533 1004.3333
2268200 878.86312 111.40712 1004.3333
2268400 878.95165 111.44642 1004.3333
2268600 879.02155 111.46215 1004.3333
2268800 879.09611 111.49563 1004.3333
2269000 879.15915 111.52571 1004.3333
2269200 879.23344 111.55594 1004.6667
2269400 879.3181 111.58504 1004.6667
2269600 879.39103 111.62131 1004.6667
2269800 879.4561 111.64017 1004.6667
2270000 879.53263 111.67016 1004.6667
2270200 879.60533 111.70296 1004.6667
2270400 879.68615 111.73352 1004.6667
2270600 879.7771 111.7529 1004.6667
2270800 879.87644 111.775 1005
2271000 879.93207 111.79516 1005
2271200 879.99131 111.82378 1005
2271400 880.05737 111.8415 1005
2271600 880.13248 111.88701 1005
2271800 880.19898 111.91152 1005
2272000 880.28021 111.93234 1005
2272200 880.35692 111.95227 1005
2272400 880.43123 111.97051 1005
2272600 880.52081 111.99625 1005
2272800 880.60395 112.01824 1005.3333
2273000 880.68377 112.03947 1005.3333
2273200 880.76133 112.06818 1005.3333
2273400 880.84218 112.07717 1005.3333
2273600 880.91492 112.09468 1005.3333
2273800 880.99844 112.10171 1005.3333
2274000 881.0733 112.11783 1005.3333
2274200 881.15217 112.13825 1005.3333
2274400 881.23398 112.14615 1005.3333
2274600 881.30096 112.14928 1005.3333
2274800 881.3951 112.16104 1005.3333
2275000 881.49823 112.178 1005.3333
2275200 881.57854 112.19639 1005.3333
2275400 881.65506 112.20678 1005.3333
2275600 881.73898 112.22279 1005.3333
2275800 881.82032 112.22627 1005.3333
2276000 881.89608 112.25009 1005.3333
2276200 881.98318 112.28077 1005.3333
2276400 882.0663 112.29238 1005.3333
2276600 882.15754 112.31382 1005.3333
2276800 882.23437 112.34277 1006
2277000 882.3243 112.35403 1006
2277200 882.40379 112.37997 1006.6667
2277400 882.49769 112.38641 1006.6667
2277600 882.59375 112.39901 1006.6667
2277800 882.67914 112.41848 1006.6667
2278000 882.7799 112.4451 1006.6667
2278200 882.87607 112.46519 1006.6667
2278400 882.95152 112.4767 1006.6667
2278600 883.04653 112.47722 1006.6667
2278800 883.13455 112.48255 1007
2279000 883.22933 112.48595 1007
2279200 883.31067 112.4983 1007
2279400 883.37844 112.49661 1007
2279600 883.46602 112.51435 1007
2279800 883.55331 112.53874 1007.6667
2280000 883.63959 112.56486 1007.6667
2280200 883.70904 112.60048 1007.6667
2280400 883.7936 112.62807 1007.6667
2280600 883.88518 112.66271 1007.6667
2280800 883.97114 112.67828 1007.6667
2281000 884.04348 112.69405 1007.6667
2281200 884.13428 112.71957 1007.6667
2281400 884.22327 112.7384 1007.6667
2281600 884.31738 112.75288 1007.6667
2281800 884.42004 112.77595 1007.6667
2282000 884.48531 112.78753 1007.6667
