time Area Area_std
3535800 1132.088 155.71076
3536000 1132.1653 155.72233
3536200 1132.2419 155.72078
3536400 1132.3313 155.72983
3536600 1132.4119 155.73891
3536800 1132.4902 155.77335
3537000 1132.5561 155.77104
3537200 1132.6334 155.77036
3537400 1132.723 155.78184
3537600 1132.8072 155.77602
3537800 1132.8616 155.79262
3538000 1132.9292 155.79537
3538200 1132.9919 155.78495
3538400 1133.0906 155.7836
3538600 1133.1882 155.77734
3538800 1133.286 155.76981
3539000 1133.3811 155.75872
3539200 1133.4585 155.76519
3539400 1133.5391 155.76193
3539600 1133.6197 155.76124
3539800 1133.6954 155.78259
3540000 1133.7772 155.79679
3540200 1133.8658 155.79563
3540400 1133.9424 155.79633
3540600 1134.0215 155.80384
3540800 1134.0781 155.79914
3541000 1134.1653 155.82217
3541200 1134.2479 155.82718
3541400 1134.3456 155.83898
3541600 1134.4188 155.84575
3541800 1134.495 155.84301
3542000 1134.5798 155.84773
3542200 1134.661 155.86339
3542400 1134.7396 155.85785
3542600 1134.8421 155.86037
3542800 1134.9134 155.85788
3543000 1134.9908 155.86311
3543200 1135.0909 155.86773
3543400 1135.1844 155.87152
3543600 1135.2549 155.87897
3543800 1135.3258 155.87948
3544000 1135.4138 155.8929
3544200 1135.496 155.89932
3544400 1135.5665 155.89317
3544600 1135.6509 155.88311
3544800 1135.7458 155.87833
3545000 1135.8606 155.8903
3545200 1135.9509 155.88021
3545400 1136.0378 155.86685
3545600 1136.1326 155.86704
3545800 1136.2535 155.89065
3546000 1136.3259 155.8926
3546200 1136.4097 155.89844
3546400 1136.4932 155.91083
3546600 1136.5687 155.91397
3546800 1136.6629 155.8996
3547000 1136.7502 155.9191
3547200 1136.8197 155.93716
3547400 1136.9056 155.94951
3547600 1136.9764 155.95731
3547800 1137.0606 155.95246
3548000 1137.133 155.93961
3548200 1137.2135 155.93581
3548400 1137.2926 155.93334
3548600 1137.3845 155.95495
3548800 1137.4899 155.97574
3549000 1137.568 155.97228
3549200 1137.6521 155.99347
3549400 1137.7283 155.99365
3549600 1137.7812 155.9955
3549800 1137.8526 156.01107
3550000 1137.9244 156.02481
3550200 1137.9763 156.02795
3550400 1138.0501 156.02563
3550600 1138.118 156.03699
3550800 1138.1697 156.02347
3551000 1138.2496 156.0351
3551200 1138.3194 156.04521
3551400 1138.4027 156.0379
3551600 1138.4723 156.03857
3551800 1138.5616 156.04785
3552000 1138.6498 156.06904
3552200 1138.7241 156.0908
3552400 1138.8103 156.10136
3552600 1138.8992 156.11183
3552800 1138.9787 156.12259
3553000 1139.061 156.11572
3553200 1139.1405 156.1403
3553400 1139.2234 156.17502
3553600 1139.3126 156.18944
3553800 1139.3935 156.19654
3554000 1139.4717 156.2009
3554200 1139.5405 156.20319
3554400 1139.6333 156.21044
3554600 1139.7014 156.22117
3554800 1139.7916 156.24029
3555000 1139.8546 156.25005
3555200 1139.924 156.2729
3555400 1139.9931 156.27682
3555600 1140.0588 156.27262
3555800 1140.1241 156.31192
3556000 1140.1987 156.32101
3556200 1140.2692 156.32684
3556400 1140.3536 156.34349
3556600 1140.4485 156.36464
3556800 1140.534 156.37843
3557000 1140.6236 156.40078
3557200 1140.7031 156.43055
3557400 1140.7974 156.43614
3557600 1140.864 156.44401
3557800 1140.9551 156.4454
3558000 1141.0252 156.43847
3558200 1141.0956 156.46077
3558400 1141.1891 156.49439
3558600 1141.2487 156.51873
3558800 1141.3242 156.52427
3559000 1141.4009 156.51633
3559200 1141.4672 156.52816
3559400 1141.5342 156.54378
3559600 1141.6094 156.55502
3559800 1141.669 156.57865
3560000 1141.7286 156.592
3560200 1141.81 156.60206
3560400 1141.871 156.61437
3560600 1141.953 156.6263
3560800 1142.0258 156.64083
3561000 1142.1026 156.65716
3561200 1142.1838 156.64902
3561400 1142.2465 156.63779
3561600 1142.3323 156.63951
3561800 1142.3994 156.64042
3562000 1142.4822 156.66624
3562200 1142.5531 156.67796
3562400 1142.6531 156.70533
3562600 1142.7475 156.70814
3562800 1142.8418 156.71378
3563000 1142.9041 156.73702
3563200 1142.9749 156.76667
3563400 1143.0391 156.76341
3563600 1143.1054 156.7636
3563800 1143.1763 156.75929
3564000 1143.2656 156.7689
3564200 1143.3422 156.78585
3564400 1143.4371 156.81297
3564600 1143.5156 156.82111
3564800 1143.6048 156.82336
3565000 1143.6915 156.83877
3565200 1143.767 156.85953
3565400 1143.8472 156.8839
3565600 1143.903 156.86906
3565800 1143.9794 156.86999
3566000 1144.0571 156.87199
3566200 1144.1294 156.8902
3566400 1144.211 156.89785
3566600 1144.2932 156.91069
3566800 1144.3596 156.91688
3567000 1144.4253 156.93604
3567200 1144.4822 156.95942
3567400 1144.5732 156.96814
3567600 1144.6503 156.97409
3567800 1144.737 156.97117
3568000 1144.8287 156.96461
3568200 1144.9177 156.95061
3568400 1145.0057 156.92531
3568600 1145.0726 156.91201
3568800 1145.1685 156.92361
3569000 1145.2618 156.94133
3569200 1145.3498 156.96472
3569400 1145.4472 156.99449
3569600 1145.5328 156.99744
3569800 1145.6123 157.0059
3570000 1145.7109 157.03279
3570200 1145.7955 157.07015
3570400 1145.8565 157.07039
3570600 1145.933 157.0755
3570800 1146.0052 157.07596
3571000 1146.0748 157.0824
3571200 1146.1593 157.10077
3571400 1146.2346 157.09402
3571600 1146.3217 157.08837
3571800 1146.4064 157.08972
3572000 1146.4842 157.08984
3572200 1146.5609 157.09242
3572400 1146.6285 157.107
3572600 1146.7092 157.1267
3572800 1146.7817 157.14582
3573000 1146.8637 157.13176
3573200 1146.9421 157.1364
3573400 1147.0205 157.16288
3573600 1147.1016 157.16587
3573800 1147.1757 157.1736
3574000 1147.2471 157.17763
3574200 1147.3304 157.1971
3574400 1147.4109 157.21236
3574600 1147.4903 157.24306
3574800 1147.5689 157.26469
3575000 1147.6475 157.27853
3575200 1147.7263 157.29672
3575400 1147.8098 157.30596
3575600 1147.8797 157.31827
3575800 1147.9804 157.32638
3576000 1148.0672 157.32066
