Time AvStrain StdStrain Time_1e5
38600 0.010638501 0.0005555597 0.386
38800 0.010681812 0.0005131583 0.388
39000 0.010740249 0.00050181477 0.39
39200 0.010794611 0.00050691823 0.392
39400 0.010858205 0.00052143535 0.394
39600 0.010917846 0.00053492961 0.396
39800 0.010978807 0.00053910317 0.398
40000 0.011020649 0.00057226419 0.4
40200 0.011108891 0.00058833064 0.402
40400 0.01116511 0.00059981114 0.404
40600 0.011217031 0.00062096463 0.406
40800 0.011271923 0.00063601262 0.408
41000 0.011312172 0.00066222113 0.41
41200 0.011369432 0.00068896542 0.412
41400 0.011436925 0.00070761442 0.414
41600 0.011486679 0.00070549001 0.416
41800 0.011540765 0.00072043137 0.418
42000 0.011599791 0.00073910299 0.42
42200 0.01168169 0.00077201783 0.422
42400 0.011738118 0.00078159029 0.424
42600 0.01179504 0.00076595387 0.426
42800 0.011847621 0.00077210903 0.428
43000 0.011908192 0.00078685365 0.43
43200 0.011969711 0.00078386373 0.432
43400 0.012043241 0.00077602701 0.434
43600 0.012116363 0.0007892745 0.436
43800 0.012184374 0.00080173021 0.438
44000 0.012255505 0.00081474184 0.44
44200 0.012309686 0.00079517158 0.442
44400 0.012369683 0.00077397626 0.444
44600 0.012428875 0.00077560518 0.446
44800 0.012490456 0.00077540066 0.448
45000 0.012550808 0.00079619926 0.45
45200 0.01261149 0.0007855327 0.452
45400 0.012662546 0.00079324885 0.454
45600 0.012713005 0.00082359297 0.456
45800 0.012769553 0.00083274531 0.458
46000 0.012819361 0.00084890285 0.46
46200 0.012884674 0.00084611624 0.462
46400 0.012972526 0.00085024353 0.464
46600 0.013034689 0.00086100313 0.466
46800 0.013080347 0.0008526466 0.468
47000 0.013126997 0.00082763103 0.47
47200 0.013199288 0.00080366852 0.472
47400 0.013257476 0.00076743313 0.474
47600 0.013342758 0.00074784577 0.476
47800 0.01339431 0.00074591808 0.478
48000 0.013463735 0.00076021828 0.48
48200 0.013505115 0.00075792011 0.482
48400 0.013565608 0.0007565636 0.484
48600 0.013613931 0.00076094772 0.486
48800 0.013658529 0.00077759177 0.488
49000 0.013707286 0.00078238909 0.49
49200 0.013764295 0.0007785919 0.492
49400 0.013826103 0.00077469228 0.494
49600 0.013876536 0.00074885388 0.496
49800 0.013928075 0.00073862473 0.498
50000 0.013975385 0.00072715096 0.5
50200 0.014057528 0.00073458675 0.502
50400 0.014122668 0.00072525748 0.504
50600 0.014181444 0.00071801491 0.506
50800 0.014244359 0.00072184404 0.508
51000 0.014301675 0.00071294257 0.51
51200 0.014363479 0.00070398269 0.512
51400 0.014401174 0.00070233025 0.514
51600 0.014471601 0.0006985423 0.516
51800 0.014532435 0.00070243386 0.518
52000 0.014601955 0.00070736157 0.52
52200 0.014675102 0.00070815308 0.522
52400 0.014753596 0.00072209681 0.524
52600 0.014824937 0.00075547296 0.526
52800 0.014892724 0.00077516642 0.528
53000 0.014939062 0.0007841235 0.53
53200 0.014990202 0.00076194731 0.532
53400 0.015021486 0.00076809572 0.534
53600 0.015036388 0.00076432399 0.536
53800 0.015067989 0.00076911201 0.538
54000 0.015090168 0.00075532777 0.54
54200 0.015122854 0.00076028385 0.542
54400 0.015171845 0.00077563503 0.544
54600 0.015204417 0.00078435446 0.546
54800 0.015247955 0.000809868 0.548
55000 0.015302172 0.00081782406 0.55
55200 0.015358802 0.00081848346 0.552
55400 0.015415135 0.00080300388 0.554
55600 0.015451428 0.00080391285 0.556
55800 0.015508257 0.00079822295 0.558
56000 0.015557954 0.00077506478 0.56
56200 0.015604351 0.00076995258 0.562
56400 0.015656689 0.00077824885 0.564
56600 0.015712049 0.00079554385 0.566
56800 0.015753249 0.00078665486 0.568
57000 0.015795548 0.00077932499 0.57
57200 0.015860003 0.00078061382 0.572
57400 0.015911419 0.00078007559 0.574
57600 0.015974261 0.00079994515 0.576
57800 0.016025149 0.00080160959 0.578
58000 0.01606372 0.00081303059 0.58
58200 0.016117835 0.00084813443 0.582
58400 0.016167915 0.00087060277 0.584
58600 0.016224448 0.00086214889 0.586
58800 0.016255058 0.00084298367 0.588
59000 0.016325069 0.00082535721 0.59
59200 0.016384683 0.00081555375 0.592
59400 0.016431888 0.00081681728 0.594
59600 0.01648289 0.00081567891 0.596
59800 0.016528823 0.00081551897 0.598
60000 0.016580671 0.00082141264 0.6
60200 0.016620553 0.00082830909 0.602
60400 0.016680218 0.00085025881 0.604
60600 0.016747139 0.00086387997 0.606
60800 0.016790567 0.00088325623 0.608
61000 0.016843532 0.00090785749 0.61
61200 0.016903116 0.00094228738 0.612
61400 0.016951962 0.00097452394 0.614
61600 0.01699371 0.0010051434 0.616
61800 0.017041117 0.0010394781 0.618
62000 0.017068044 0.0010677597 0.62
62200 0.017114418 0.0010822531 0.622
62400 0.017172392 0.001097483 0.624
62600 0.017220086 0.0010876342 0.626
62800 0.017257894 0.0010849679 0.628
63000 0.017311404 0.0010909254 0.63
63200 0.017377458 0.0010970223 0.632
63400 0.017431227 0.001116141 0.634
63600 0.017481235 0.0011335909 0.636
63800 0.017543153 0.0011374129 0.638
64000 0.017603223 0.0011292912 0.64
64200 0.01766454 0.0011146227 0.642
