Time Strain Concentration
59400 0.015562983 0.19499449
59600 0.015622736 0.19497155
59800 0.015687874 0.19494654
60000 0.015757594 0.19491978
60200 0.015797986 0.19490428
60400 0.015882222 0.19487196
60600 0.015976795 0.19483568
60800 0.016051381 0.19480707
61000 0.016145188 0.19477111
61200 0.016196489 0.19475144
61400 0.016260089 0.19472707
61600 0.016325272 0.19470209
61800 0.01639229 0.19467642
62000 0.016468255 0.19464732
62200 0.016523548 0.19462614
62400 0.016610331 0.19459292
62600 0.01669252 0.19456146
62800 0.016717363 0.19455195
63000 0.016764662 0.19453385
63200 0.016823231 0.19451144
63400 0.016935057 0.19446866
63600 0.017011368 0.19443948
63800 0.017095808 0.1944072
64000 0.017154105 0.19438491
64200 0.017212549 0.19436258
64400 0.017306307 0.19432675
64600 0.017395272 0.19429277
64800 0.017459123 0.19426838
65000 0.017520995 0.19424476
65200 0.017581472 0.19422167
65400 0.017631846 0.19420244
65600 0.017697224 0.19417749
65800 0.017752946 0.19415623
66000 0.017833858 0.19412536
66200 0.017931626 0.19408807
66400 0.017978736 0.19407011
66600 0.018019118 0.19405471
66800 0.018056723 0.19404038
67000 0.018096388 0.19402526
67200 0.018152723 0.19400379
67400 0.018202909 0.19398466
67600 0.01827119 0.19395865
67800 0.01833932 0.1939327
68000 0.018377494 0.19391816
68200 0.018406347 0.19390717
68400 0.018440573 0.19389414
68600 0.018483378 0.19387784
68800 0.018554526 0.19385076
69000 0.018651417 0.19381388
69200 0.018703695 0.19379399
69400 0.01875847 0.19377315
69600 0.018747998 0.19377713
69800 0.018788537 0.19376171
70000 0.018854816 0.1937365
70200 0.018944208 0.19370251
70400 0.01905768 0.19365938
70600 0.019147024 0.19362543
70800 0.019216806 0.19359891
71000 0.019285208 0.19357293
71200 0.019368463 0.19354131
71400 0.019449059 0.19351071
71600 0.019551236 0.19347193
71800 0.019607949 0.1934504
72000 0.019670974 0.19342649
72200 0.019771988 0.19338817
72400 0.019876324 0.19334861
72600 0.019960127 0.19331684
