Time Strain Concentration
74200 0.021146686 0.19180226
74400 0.021242616 0.19176623
74600 0.021343174 0.19172847
74800 0.021414757 0.1917016
75000 0.021456553 0.19168591
75200 0.021500971 0.19166924
75400 0.021540614 0.19165437
75600 0.021601139 0.19163166
75800 0.02165941 0.1916098
76000 0.021749322 0.19157608
76200 0.021811283 0.19155285
76400 0.021876901 0.19152825
76600 0.021934083 0.19150681
76800 0.021994224 0.19148427
77000 0.022021537 0.19147404
77200 0.022078883 0.19145255
77400 0.02214897 0.1914263
77600 0.022223397 0.19139843
77800 0.022277174 0.19137829
78000 0.022316265 0.19136365
78200 0.022321473 0.1913617
78400 0.022364757 0.1913455
78600 0.022413285 0.19132734
78800 0.022448319 0.19131423
79000 0.022481388 0.19130185
79200 0.022522183 0.19128659
79400 0.022609607 0.19125388
79600 0.022693472 0.19122252
79800 0.022738446 0.1912057
80000 0.022771771 0.19119324
80200 0.022810264 0.19117885
80400 0.022881997 0.19115203
80600 0.022926289 0.19113548
80800 0.023015292 0.19110223
81000 0.023106013 0.19106834
81200 0.023178132 0.1910414
81400 0.023271298 0.19100662
81600 0.023323045 0.1909873
81800 0.02338566 0.19096393
82000 0.023478958 0.19092911
82200 0.023528769 0.19091053
82400 0.023573738 0.19089376
82600 0.023661151 0.19086116
82800 0.023768083 0.19082129
83000 0.023831979 0.19079747
83200 0.02390374 0.19077073
83400 0.024006821 0.19073232
83600 0.024097399 0.19069858
83800 0.0241662 0.19067296
84000 0.024259474 0.19063824
84200 0.024309737 0.19061953
84400 0.024358999 0.1906012
84600 0.024415539 0.19058016
84800 0.024460842 0.1905633
85000 0.024516022 0.19054278
85200 0.02459004 0.19051525
85400 0.024647808 0.19049376
85600 0.02471081 0.19047034
85800 0.02478165 0.19044401
86000 0.024898863 0.19040045
86200 0.024980543 0.19037011
86400 0.025056639 0.19034184
86600 0.025143108 0.19030973
86800 0.025225336 0.19027921
87000 0.025307406 0.19024875
87200 0.025367935 0.19022629
87400 0.025436844 0.19020072
87600 0.025515836 0.19017142
87800 0.025598037 0.19014094
88000 0.025661092 0.19011756
88200 0.025765879 0.19007872
88400 0.025848155 0.19004823
88600 0.025886864 0.19003389
88800 0.025929743 0.19001801
89000 0.02595708 0.19000788
89200 0.026018507 0.18998513
89400 0.026074701 0.18996432
89600 0.026142075 0.18993938
89800 0.026170736 0.18992877
90000 0.026223423 0.18990926
90200 0.026270339 0.1898919
90400 0.026350568 0.18986221
90600 0.026417028 0.18983763
90800 0.026530149 0.18979579
91000 0.026646666 0.18975271
91200 0.026707137 0.18973036
91400 0.026809674 0.18969247
91600 0.026905768 0.18965697
91800 0.026960713 0.18963668
92000 0.027026671 0.18961232
92200 0.02710438 0.18958363
92400 0.027186347 0.18955337
92600 0.027301636 0.18951083
92800 0.027413458 0.18946958
93000 0.027501998 0.18943693
93200 0.027554688 0.1894175
93400 0.027626974 0.18939085
93600 0.02773368 0.18935153
93800 0.027796006 0.18932857
94000 0.027837959 0.18931311
94200 0.027858667 0.18930548
94400 0.02794998 0.18927185
94600 0.028001201 0.18925299
94800 0.028095729 0.18921819
95000 0.028186945 0.18918462
