time,numberMonsInNetwork
5067000.0,2671.0
5068000.0,2669.0
5069000.0,2667.0
5070000.0,2683.0
5071000.0,2679.0
5072000.0,2689.0
5073000.0,2693.0
5074000.0,2684.0
5075000.0,2675.0
5076000.0,2674.0
5077000.0,2678.0
5078000.0,2661.0
5079000.0,2661.0
5080000.0,2674.0
5081000.0,2689.0
5082000.0,2681.0
5083000.0,2668.0
5084000.0,2667.0
5085000.0,2668.0
5086000.0,2662.0
5087000.0,2671.0
5088000.0,2670.0
5089000.0,2664.0
5090000.0,2686.0
5091000.0,2670.0
5092000.0,2679.0
5093000.0,2668.0
5094000.0,2647.0
5095000.0,2647.0
5096000.0,2645.0
5097000.0,2660.0
5098000.0,2653.0
5099000.0,2639.0
5100000.0,2640.0
5101000.0,2636.0
5102000.0,2655.0
5103000.0,2647.0
5104000.0,2655.0
5105000.0,2656.0
5106000.0,2660.0
5107000.0,2650.0
5108000.0,2645.0
5109000.0,2633.0
5110000.0,2636.0
5111000.0,2649.0
5112000.0,2654.0
5113000.0,2652.0
5114000.0,2657.0
5115000.0,2658.0
5116000.0,2649.0
5117000.0,2651.0
5118000.0,2664.0
5119000.0,2645.0
5120000.0,2633.0
5121000.0,2636.0
5122000.0,2637.0
5123000.0,2636.0
5124000.0,2633.0
5125000.0,2648.0
5126000.0,2662.0
5127000.0,2670.0
5128000.0,2665.0
5129000.0,2656.0
5130000.0,2655.0
5131000.0,2661.0
5132000.0,2673.0
5133000.0,2655.0
5134000.0,2642.0
5135000.0,2634.0
5136000.0,2643.0
5137000.0,2643.0
5138000.0,2642.0
5139000.0,2641.0
5140000.0,2643.0
5141000.0,2643.0
5142000.0,2637.0
5143000.0,2645.0
5144000.0,2640.0
5145000.0,2638.0
5146000.0,2628.0
5147000.0,2637.0
5148000.0,2626.0
5149000.0,2628.0
5150000.0,2629.0
5151000.0,2626.0
5152000.0,2637.0
5153000.0,2640.0
5154000.0,2639.0
5155000.0,2648.0
5156000.0,2643.0
5157000.0,2624.0
5158000.0,2620.0
5159000.0,2617.0
5160000.0,2628.0
5161000.0,2612.0
5162000.0,2608.0
5163000.0,2620.0
5164000.0,2617.0
5165000.0,2623.0
5166000.0,2632.0
5167000.0,2633.0
5168000.0,2630.0
5169000.0,2625.0
5170000.0,2632.0
5171000.0,2642.0
